No,TICKER,NAMA PERUSAHAAN,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,
,,,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,,Return on Stock Price (+7),Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price
,,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Total Con ACC,Net Inc,Opr Cash Flow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,
28,MBTO,Martina Berto Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,,,  -   ,
29,MIDI,Midi Utama Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.02,0.81,#DIV/0!,,,  -   ,,-0.13,0.23,0.09,1.91,2.26,,0.02,0.81,"398,918,000,000",,  -   ,,-0.02,0.25,0.09,3.71,2.23,,0.02,0.81,"516,658,000,000",,  -   ,,-0.03,0.27,0.08,3.24,2.28,,0.02,0.81,"546,407,000,000",,  -   ,
30,MLBI,Multi Bintang Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.03,0.89,#DIV/0!,,,  -   ,,-0.15,0.31,0.38,8.19,0.92,,0.03,0.89,"924,767,000,000",,  -   ,,-0.04,0.40,0.42,8.10,0.98,,0.03,0.89,"1,066,178,000,000",,  -   ,,-0.06,0.37,0.43,6.05,0.98,,0.03,0.89,"1,141,948,000,000",,  -   ,
31,MLPL,Multipolar Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.03,0.64,#DIV/0!,,,  -   ,,0.01,0.09,0.03,0.01,0.83,,0.03,0.64,"151,227,000,000",,  -   ,,0.00,0.10,0.04,0.00,0.84,,0.03,0.64,"172,049,000,000",,  -   ,,0.00,0.11,0.05,0.01,0.87,,0.03,0.64,"142,830,000,000",,  -   ,
32,MRAT,Mustika Ratu Tbk.,0.42,0.33,0.03,0.50,0.57,,0.00,0.76,#DIV/0!,"358,126,931",,  -   ,,0.50,0.38,0.09,1.16,0.41,,0.00,0.76,"67,833,011,050",,  -   ,,0.54,0.39,0.00,0.68,0.47,,0.00,0.76,"-14,140,399,378",,  -   ,,0.41,0.30,0.02,0.54,0.41,,0.00,0.76,"-5,122,538,773",,  -   ,
33,MYOR,Mayora Indah Tbk.,  0.37 ,  0.54 ,0.09,  5.33 ,1.40,0.40,  0.25 ,  0.59 ,0.07,"  1,211,052,647,953 ","  1,041,955,003,348 ","  844,085,689,408 ",,  0.41 ,0.55,0.11,2500.00,1.38,0.40,  0.25 ,  0.59 ,"  1,970,064,538,149 ","  1,619,570,638,186 ","  847,714,654,902 ",,  0.26 ,0.61,0.18,6.48,1.32,0.40,  0.25 ,  0.59 ,"  3,244,872,091,221 ","  5,259,181,989,696 ","  831,008,408,714 ",,  0.41 ,0.55,0.13,4.92,1.21,0.40,  0.25 ,  0.59 ,"  3,067,667,675,407 ","- 463,359,496,912 ","  967,806,352,377 ",
34,PSDN,Prasidha Aneka Niaga Tbk,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.33,  0.09 ,  0.68 ,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.33,  0.08 ,  0.66 ,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.33,  0.05 ,  7.00 ,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.40,  0.05 ,  0.64 ,,,  -   ,
35,RANC,Supra Boga Lestari Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.88,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.88,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.88,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.88,,,  -   ,
36,ROTI,Nippon Indosari Corpindo Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.83,#DIV/0!,,,  -   ,,0.16,0.41,0.15,5.12,0.95,,0.00,0.83,"432,220,344,060",,  -   ,,0.13,0.36,0.12,4.17,0.97,,0.00,0.83,"333,291,088,862",,  -   ,,0.12,0.35,0.14,3.79,1.05,,0.00,0.83,"362,565,606,268",,  -   ,
37,SDPC,Millennium Pharmacon Internati,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.03,0.85,#DIV/0!,,,  -   ,,0.10,0.09,0.05,0.37,2.28,,0.03,0.85,"24,464,054,875",,  -   ,,0.10,0.09,0.06,0.15,2.05,,0.03,0.85,"33,087,528,526",,  -   ,,0.08,0.09,0.05,0.11,2.21,,0.03,0.85,"16,928,878,936",,  -   ,
