Ticker,Year,TotalAset,TotalLiabilitas,TotalCurrentAssets,TotalCurrentLiabilities,NetIncome,OperatingCashFlow,RetainedEarning,EBIT,Sales,Depreciation,Amortization,OutstandingShares
SMAR,2021,40345003000000.0,25927174000000.0,22418032000000.0,15408950000000.0,2829418000000.0,650500000000.0,11663936000000.0,3881950000000.0,57004234000000.0,804086000000.0,80308000000,2872193366.0
SMAR,2022,42600814000000.0,23353011000000.0,23708820000000.0,12104564000000.0,5504956000000.0,4283273000000.0,16341045000000.0,6600885000000.0,75045559000000.0,1089696000000.0,93643000000,2872193366.0
SMAR,2023,39716363000000.0,2064450000000.0,19141108000000.0,10225382000000.0,917870000000.0,4037932000000.0,16198132000000.0,1483072000000.0,66530549000000.0,1138506000000.0,89983000000,2872193366.0
SSMS,2020,12775900000000.0,7905100000000.0,3415600000000.0,1438700000000.0,580900000000.0,586013180000.0,585046589000.0,1206400000000.0,4011100000000.0,319895836000.0,0,9525000000.0
SSMS,2021,13850600000000.0,7743100000000.0,3500500000000.0,1463900000000.0,1526900000000.0,1114556872000.0,1111239357000.0,1768300000000.0,5203100000000.0,306283922000.0,6806659000,9525000000.0
SSMS,2022,11136909800000.0,9091691163000.0,4638955633000.0,4172345639000.0,1848000000000.0,2442000000000.0,16341045000000.0,2626000000000.0,1124000000000.0,354621542000.0,3748735000,9525000000.0
SSMS,2023,11810444633000.0,9820352514000.0,5028227209000.0,4755000000000.0,517854000000.0,594000000000.0,16198132000000.0,1196000000000.0,1070300000000.0,380656384000.0,3445842000,9525000000.0
STTP,2020,3448995059882.0,775696860738.0,1505872822478.0,626131203549.0,628628879549.0,926245668352.0,2514055848672.0,748626953444.0,3846300254825.0,70033701261.0,251635165,1310000000.0
STTP,2021,3919243683748.0,618395061219.0,1979855004312.0,475372154415.0,617573766863.0,624353076652.0,3131561870573.0,628743066849.0,4241856914012.0,70992677980.0,251635165,1310000000.0
STTP,2022,4590737849889.0,662339075974.0,2575390271556.0,530693880588.0,624524005786.0,677186311780.0,3606039292165.0,582130740232.0,4931553771470.0,69886868977.0,251635165,1310000000.0
STTP,2023,5482234635262.0,634723259687.0,3495987886882.0,502706566446.0,917794022711.0,1040203617434.0,4523729195906.0,971015203047.0,4767207433046.0,76816093772.0,0,1310000000.0
TBLA,2020,19431310000000.0,13542437000000.0,7490560000000.0,5385025000000.0,680730000000.0,38235000000.0,4355189000000.0,1825022000000.0,10863256000000.0,819765000000.0,0,5276846539.0
TBLA,2021,21084041000000.0,14591663000000.0,9235988000000.0,6208185000000.0,791916000000.0,1531950000000.0,5035579000000.0,1930074000000.0,15972216000000.0,848371000000.0,0,5276846539.0
TBLA,2022,23673644000000.0,16841410000000.0,11374948000000.0,9485740000000.0,816525000000.0,1023209000000.0,5369202000000.0,2050472000000.0,17912504000000.0,937090000000.0,0,5276846539.0
TBLA,2023,25883325000000.0,17680467000000.0,12184767000000.0,8827573000000.0,755752000000.0,-1053127000000.0,5878604000000.0,2058072000000.0,18349604000000.0,974004000000.0,0,6025373372.0
TCID,2020,2333947582106.0,468648216211.0,1361073330402.0,147595397122.0,-100465635121.0,313097294375.0,1556654969945.0,-114163672607.0,1882144124829.0,150141384239.0,29035404359,201066667.0
