No,TICKER,NAMA PERUSAHAAN,2021,,,,,,,,2022,,,,,,,,2023,,,,,,,,2024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi
31,MLPL,Multipolar Tbk.,,,,,,,,,"13,082,641,000,000","8,488,639,000,000","151,227,000,000",,"4,932,608,000,000","4,737,302,000,000",,,"13,089,217,000,000","8,390,166,000,000","172,049,000,000",,"4,859,606,000,000","4,859,364,000,000",,,"13,128,720,000,000","8,267,273,000,000","142,830,000,000",,"5,085,659,000,000","5,080,048,000,000",,
32,MRAT,Mustika Ratu Tbk.,"578,260,975,588","235,065,047,091","358,126,931",,"459,338,629,540","215,622,712,026",,,"694,780,597,799","283,395,035,571","67,833,011,050",,"586,852,139,107","236,276,099,973",,,"634,207,335,645","232,316,210,715","-14,140,399,378",,"536,240,708,878","191,132,222,451",,,"818,435,708,264","244,780,362,194","-5,122,538,773",,"527,354,772,708","192,818,326,822",,
33,MYOR,Mayora Indah Tbk.,"  19,917,653,265,528 ","  8,557,621,869,393 ","  1,211,052,647,953 ","  1,041,955,003,348 ","  12,969,783,874,643 ","  5,570,773,468,770 ",,"  844,085,689,408 ","  22,276,160,695,411 ","  9,441,466,604,896 ","  1,970,064,538,149 ","  1,619,570,638,186 ","  14,772,623,976,128 ","  5,636,627,301,308 ",,"  847,714,654,902 ","  23,870,404,962,472 ","  8,588,315,775,736 ","  3,244,872,091,221 ","  5,259,181,989,696 ","  14,738,922,387,529 ","  8,588,315,775,736 ",,"  831,008,408,714 ","  29,728,781,933,757 ","  12,626,353,599,187 ","  3,067,667,675,407 ","- 463,359,496,912 ","  19,600,914,916,989 ","  7,383,110,635,195 ",,"  967,806,352,377 "
34,PSDN,Prasidha Aneka Niaga Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,RANC,Supra Boga Lestari Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ROTI,Nippon Indosari Corpindo Tbk.,,,,,,,,,"4,130,321,616,083","1,449,163,077,319","432,220,344,060",,"1,285,672,230,703","612,417,576,293",,,"3,943,518,425,042","1,550,086,849,761","333,291,088,862",,"1,164,940,801,635","669,095,049,839",,,"3,746,346,988,767","1,438,191,795,263","362,565,606,268",,"1,044,136,874,729","610,720,198,188",,
37,SDPC,Millennium Pharmacon Internati,,,,,,,,,"1,401,504,764,117","1,142,594,625,772","24,464,054,875",,"1,258,958,579,876","1,113,038,489,125",,,"1,639,682,291,798","1,361,968,904,232","33,087,528,526",,"1,447,652,336,556","1,287,000,525,182",,,"1,771,856,829,401","1,489,359,909,392","16,928,878,936",,"1,563,794,217,415","1,413,417,064,887",,
38,SGRO,Prime Agri Resources Tbk.,,,,,,,,,"10,243,238,000,000","5,013,127,000,000","1,049,826,000,000",,"1,800,148,000,000","1,360,809,000,000",,,"10,067,533,000,000","4,555,126,000,000","483,712,000,000",,"1,615,746,000,000","1,309,773,000,000",,,"10,702,351,000,000","4,492,331,000,000","754,152,000,000",,"2,224,658,000,000","1,760,388,000,000",,
39,SIMP,Salim Ivomas Pratama Tbk.,,,,,,,,,"36,113,081,000,000","14,945,799,000,000","1,198,367,000,000",,"10,442,878,000,000","9,460,845,000,000",,,"35,012,351,000,000","13,291,426,000,000","736,417,000,000",,"9,896,897,000,000","9,411,112,000,000",,,"37,247,829,000,000","13,260,394,000,000","1,549,914,000,000",,"13,232,699,000,000","8,769,433,000,000",,
40,SIPD,Sreeya Sewu Indonesia Tbk.,,,,,,,,,"3,002,424,000,000","2,300,107,000,000","-218,103,000,000",,"1,897,751,000,000","2,174,878,000,000",,,"3,281,471,000,000","2,088,422,000,000","-17,315,000,000",,"2,122,106,000,000","1,949,230,000,000",,,"3,119,496,000,000","1,915,653,000,000","3,325,000,000",,"1,822,892,000,000","1,790,792,000,000",,
41,SKBM,Sekar Bumi Tbk.,,,,,,,,,"2,042,199,577,083","968,233,866,594","86,221,358,302",,"1,263,255,237,692","875,853,096,624",,,"1,839,622,473,747","772,343,255,862","1,496,164,143",,"1,073,290,266,264","685,194,518,888",,,"1,841,387,615,106","852,908,675,358","-75,222,579,818",,"1,068,708,952,564","753,716,763,605",,
42,SKLT,Sekar Laut Tbk.,,,,,,,,,"1,033,289,474,829","442,535,947,408","75,154,155,539",,"543,799,195,487","333,670,108,915",,,"1,282,739,303,035","465,795,522,143","77,849,644,887",,"736,999,330,347","349,749,364,269",,,"1,522,025,167,907","607,398,668,005","109,707,478,296",,"830,121,924,354","468,756,288,013",,
43,SMAR,Sinar Mas Agro Resources and T,,,,,,,,,"42,600,814,000,000","23,353,011,000,000","5,500,519,000,000",,"23,708,820,000,000","12,104,564,000,000",,,"39,716,363,000,000","20,644,500,000,000","917,807,000,000",,"19,141,108,000,000","10,225,382,000,000",,,"45,333,131,000,000","25,450,074,000,000","1,278,172,000,000",,"24,441,530,000,000","13,370,729,000,000",,
44,SSMS,Sawit Sumbermas Sarana Tbk.,,,,,,,,,"11,136,909,800,000","9,092,405,909,000","1,837,375,968,000",,"4,638,955,633,000","4,172,292,592,000",,,"11,943,995,440,000","9,947,700,957,000","512,255,637,000",,"5,017,475,614,000","4,785,421,159,000",,,"11,871,118,225,000","8,986,349,964,000","819,533,676,000",,"5,212,497,254,000","4,751,235,135,000",,
45,STTP,Siantar Top Tbk.,,,,,,,,,"4,590,737,849,889","662,339,075,974","624,477,421,592",,"2,575,390,271,556","530,693,880,588",,,"5,482,234,635,262","634,723,259,687","917,689,903,741",,"3,495,987,886,882","502,706,566,446",,,"6,762,107,188,564","616,035,183,328","1,314,328,079,733",,"4,771,693,419,163","501,673,607,162",,
46,TBLA,Tunas Baru Lampung Tbk.,,,,,,,,,"23,673,644,000,000","16,841,410,000,000","800,689,000,000",,"11,374,948,000,000","9,485,740,000,000",,,"25,883,325,000,000","17,680,467,000,000","611,289,000,000",,"12,184,767,000,000","8,840,697,000,000",,,"27,763,549,000,000","19,315,115,000,000","700,019,000,000",,"13,466,360,000,000","10,336,487,000,000",,
47,TCID,Mandom Indonesia Tbk.,,,,,,,,,"2,380,657,918,106","525,870,003,344","18,467,723,999",,"1,594,565,567,872","221,011,501,094",,,"2,391,566,509,438","505,779,174,136","38,116,433,207",,"1,639,341,193,231","195,898,370,114",,,"2,337,888,865,653","553,955,057,903","-124,746,678,571",,"1,594,068,604,564","358,755,200,137",,
48,TGKA,Tigaraksa Satria Tbk.,,,,,,,,,"4,178,952,000,000","2,133,663,000,000","478,138,000,000",,"3,716,527,000,000","1,806,906,000,000",,,"4,566,006,000,000","2,365,654,000,000","457,037,000,000",,"3,810,334,000,000","1,940,279,000,000",,,"4,676,250,000,000","2,357,124,000,000","412,442,000,000",,"3,886,827,000,000","1,889,201,000,000",,
49,ULTJ,Ultrajaya Milk Industry & Trad,,,,,,,,,"7,376,375,000,000","1,553,696,000,000","960,786,000,000",,"4,618,390,000,000","1,456,898,000,000",,,"7,523,956,000,000","836,988,000,000","1,169,212,000,000",,"4,411,475,000,000","713,393,000,000",,,"8,461,365,000,000","1,034,447,000,000","1,136,624,000,000",,"4,869,748,000,000","902,814,000,000",,
50,UNVR,Unilever Indonesia Tbk.,,,,,,,,,"18,318,114,000,000","14,320,858,000,000","5,364,761,000,000",,"7,567,768,000,000","12,442,223,000,000",,,"16,664,086,000,000","13,282,848,000,000","4,800,940,000,000",,"6,191,839,000,000","11,223,968,000,000",,,"16,046,195,000,000","13,896,928,000,000","3,368,693,000,000",,"5,280,548,000,000","11,830,201,000,000",,
51,WAPO,Wahana Pronatural Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,WIIM,Wismilak Inti Makmur Tbk.,,,,,,,,,"2,168,793,843,296","667,866,337,031","249,331,695,478",,"1,876,123,954,487","661,604,830,345",,,"2,575,756,967,645","728,434,659,389","494,312,833,186",,"2,214,577,722,230","718,170,426,248",,,"3,026,895,275,668","1,110,516,776,947","298,682,227,072",,"2,471,135,164,297","1,012,974,885,010",,
53,DAYA,Duta Intidaya Tbk.,,,,,,,,,"687,503,074,000","653,464,291,000","-40,023,559,000",,"406,127,403,000","574,583,535,000",,,"689,743,255,000","672,135,240,000","-16,188,988,000",,"433,142,341,000","593,176,688,000",,,"975,102,214,000","912,026,108,000","45,674,833,000",,"597,289,520,000","778,290,717,000",,
54,DPUM,Dua Putra Utama Makmur Tbk.,,,,,,,,,"1,354,777,869,012","778,536,207,332","-45,726,829,010",,"359,860,538,712","185,703,883,035",,,"1,200,216,788,284","769,712,292,179","-142,298,507,164",,"367,731,806,829","177,688,543,811",,,"1,188,312,653,146","794,158,844,802","-37,052,801,791",,"432,597,052,882","183,566,886,291",,
55,KINO,Kino Indonesia Tbk.,,,,,,,,,"4,676,372,045,095","3,142,551,744,669","-957,025,786,473",,"1,688,505,201,652","1,935,669,493,305",,,"4,646,378,817,802","3,027,648,359,660","70,463,044,564",,"1,735,117,266,203","2,102,124,921,210",,,"4,501,385,830,768","2,851,025,198,999","86,599,307,623",,"1,627,935,460,419","2,244,858,924,455",,
56,CLEO,Sariguna Primatirta Tbk.,,,,,,,,,"1,790,304,606,780","581,132,890,435","192,467,066,577",,"293,595,993,980","246,628,098,395",,,"2,296,227,711,688","781,642,680,910","305,779,257,892",,"533,003,540,931","441,890,974,677",,,"2,663,387,006,912","733,610,559,278","465,157,220,395",,"457,203,260,191","379,826,463,148",,
57,HOKI,Buyung Poetra Sembada Tbk.,,,,,,,,,"811,603,660,216","142,744,113,133","1,797,143,563",,"389,697,575,028","119,206,775,342",,,"1,046,190,979,746","384,617,373,377","-1,465,736,323",,"637,958,259,902","364,553,821,477",,,"1,124,071,397,658","476,342,774,032","-3,000,946,555",,"730,730,404,531","432,851,967,189",,
58,CAMP,Campina Ice Cream Industry Tbk,,,,,,,,,"1,074,777,460,412","133,323,429,397","121,257,336,904",,"772,685,806,645","72,411,790,397",,,"1,088,726,193,209","136,086,922,155","127,426,464,539",,"501,886,780,991","78,024,161,155",,,"1,083,173,624,832","148,194,431,953","97,110,136,525",,"472,552,752,038","93,604,844,953",,
