NO,TICKER,NAMA PERUSAHAAN,2021,,,,,,,2022,,,,,,,2023,,,,,,,2024,,,,,,
,,,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales
21,ICBP,Indofood CBP Sukses Makmur Tbk,#DIV/0!,,,"101,458,599,600,000",,"11,661,908,000",,0.18,"29,282,631,000,000","9,674,042,000,000","116,619,080,000,000","57,832,529,000,000","11,661,908,000","64,797,516,000,000",0.22,"34,046,051,000,000","13,469,406,000,000","123,324,677,100,000","57,163,043,000,000","11,661,908,000","67,909,901,000,000",0.27,"38,890,520,000,000","13,641,685,000,000","132,654,203,500,000","58,997,020,000,000","11,661,908,000","72,597,188,000,000"
22,INDF,Indofood Sukses Makmur Tbk.,#DIV/0!,,,"55,536,197,612,500",,"8,780,426,500",,0.13,"41,168,161,000,000","15,524,858,000,000","59,048,368,212,500","86,810,262,000,000","8,780,426,500","110,830,272,000,000",0.16,"47,029,083,000,000","19,140,009,000,000","56,633,750,925,000","86,123,066,000,000","8,780,426,500","111,703,611,000,000",0.21,"53,396,455,000,000","20,866,631,000,000","67,609,284,050,000","92,722,030,000,000","8,780,426,500","115,786,525,000,000"
23,JAWA,Jaya Agra Wattie Tbk.,#DIV/0!,,,"4,382,896,997,340",,"16,232,951,842",,-0.11,"-1,341,979,294,646","-51,888,583,742","1,704,459,943,410","3,471,237,598,677","16,232,951,842","971,541,518,082",-0.09,"-1,644,457,745,904","-54,739,219,293","2,921,931,331,560","2,674,644,786,344","16,232,951,842","896,151,775,102",-0.00,"-1,837,500,699,063","-9,344,344,955","1,785,624,702,620","2,501,593,394,303","16,232,951,842","1,070,773,284,944"
24,JPFA,Japfa Comfeed Indonesia Tbk.,#DIV/0!,,,"14,991,657,429,720",,"8,716,079,901",,0.23,"9,880,493,000,000","2,632,011,000,000","11,287,323,471,795","19,036,110,000,000","8,716,079,901","48,972,085,000,000",0.19,"10,165,559,000,000","2,160,623,000,000","10,284,974,283,180","19,942,219,000,000","8,716,079,901","51,175,898,000,000",0.23,"12,377,416,000,000","5,065,071,000,000","16,909,195,007,940","18,093,761,000,000","8,716,079,901","55,800,849,000,000"
25,LAPD,Leyand International Tbk.,#DIV/0!,,,"198,317,506,950",,"3,966,350,139",,-231.71,"-445,604,072,929","233,113,930,682","198,317,506,950","15,489,942,797","3,966,350,139",0,0.01,"-446,907,649,945","-1,728,997,998","23,798,100,834","159,928,064,075","3,966,350,139","173,840,919,543",-0.04,"-449,837,937,344","-25,550,978,115","71,394,302,502","196,705,082,827","3,966,350,139","223,452,157,674"
26,LSIP,PP London Sumatra Indonesia Tb,#DIV/0!,,,"8,081,657,298,525",,"6,819,963,965",,0.35,"9,116,053,000,000","1,284,201,000,000","6,922,263,424,475","1,481,306,000,000","6,819,963,965","4,585,348,000,000",0.38,"9,524,141,000,000","911,992,000,000","6,069,767,928,850","1,166,762,000,000","6,819,963,965","4,189,896,000,000",0.47,"10,729,706,000,000","1,773,706,000,000","6,649,464,865,875","1,285,202,000,000","6,819,963,965","4,562,503,000,000"
27,MAIN,Malindo Feedmill Tbk.,#DIV/0!,,,"3,401,508,687,500",,"2,230,497,500",,0.07,"1,250,298,681,000","191,747,506,000","1,092,943,775,000","3,671,859,617,000","2,230,497,500","11,101,647,275,000",0.08,"1,315,651,784,000","279,311,170,000","1,148,706,212,500","3,377,015,031,000","2,230,497,500","12,058,023,085,000",0.21,"1,805,554,470,000","773,980,197,000","1,706,330,587,500","2,747,743,014,000","2,230,497,500","12,502,826,561,000"
28,MBTO,Martina Berto Tbk.,#DIV/0!,,,"156,220,000,000",,"1,070,000,000",,#DIV/0!,,,"135,890,000,000",,"1,070,000,000",,#DIV/0!,,,"107,000,000,000",,"1,070,000,000",,#DIV/0!,,,"95,230,000,000",,"1,070,000,000",
29,MIDI,Midi Utama Indonesia Tbk.,#DIV/0!,,,"7,004,064,695,876",,"33,435,294,800",,-0.13,"1,580,347,000,000","630,502,000,000","9,412,701,784,036","4,918,421,000,000","33,435,294,800","15,623,654,000,000",-0.02,"1,976,099,000,000","737,097,000,000","14,377,176,764,000","3,873,675,000,000","33,435,294,800","17,351,152,000,000",-0.03,"2,366,032,000,000","723,161,000,000","14,377,176,764,000","4,441,894,000,000","33,435,294,800","19,888,091,000,000"
30,MLBI,Multi Bintang Indonesia Tbk.,#DIV/0!,,,"16,434,600,000,000",,"2,107,000,000",,-0.15,"1,049,739,000,000","1,268,446,000,000","18,857,650,000,000","2,301,227,000,000","2,107,000,000","3,114,907,000,000",-0.04,"1,367,757,000,000","1,424,558,000,000","16,329,250,000,000","2,015,987,000,000","2,107,000,000","3,322,282,000,000",-0.06,"1,275,522,000,000","1,476,104,000,000","12,852,700,000,000","2,124,203,000,000","2,107,000,000","3,383,969,000,000"
